id	Gold Tag
p_1	3
p_2	5
p_3	3
p_4	5
p_5	4
p_6	4
p_7	4
p_8	4
p_9	3
p_10	4
p_11	3
p_12	3
p_13	3
p_14	4
p_15	4
p_16	5
p_17	5
p_18	3
p_19	4
p_20	4
p_21	3
p_22	5
p_23	4
p_24	1
p_25	5
p_26	4
p_27	5
p_28	4
p_29	4
p_30	4
p_31	5
p_32	5
p_33	5
p_34	3
p_35	3
p_36	3
p_37	5
p_38	5
p_39	3
p_40	5
p_41	4
p_42	5
p_43	2
p_44	5
p_45	3
p_46	4
p_47	0
p_48	3
p_49	4
p_50	4
p_51	5
p_52	4
p_53	4
p_54	3
p_55	4
p_56	2
p_57	3
p_58	5
p_59	4
p_60	5
p_61	5
p_62	5
p_63	4
p_64	3
p_65	4
p_66	5
p_67	5
p_68	5
p_69	4
p_70	2
p_71	4
p_72	3
p_73	4
p_74	2
p_75	4
p_76	3
p_77	1
p_78	4
p_79	3
p_80	3
p_81	4
p_82	3
p_83	5
p_84	4
p_85	5
p_86	3
p_87	2
p_88	5
p_89	3
p_90	4
p_91	4
p_92	3
p_93	5
p_94	4
p_95	4
p_96	4
p_97	3
p_98	5
p_99	2
p_100	5
p_101	5
p_102	4
p_103	3
p_104	4
p_105	5
p_106	1
p_107	2
p_108	5
p_109	5
p_110	2
p_111	3
p_112	2
p_113	4
p_114	3
p_115	5
p_116	2
p_117	4
p_118	4
p_119	4
p_120	4
p_121	4
p_122	3
p_123	5
p_124	4
p_125	4
p_126	5
p_127	3
p_128	5
p_129	4
p_130	4
p_131	5
p_132	2
p_133	3
p_134	4
p_135	5
p_136	5
p_137	4
p_138	4
p_139	4
p_140	3
p_141	5
p_142	1
p_143	5
p_144	4
p_145	5
p_146	5
p_147	5
p_148	3
p_149	4
p_150	3
p_151	5
p_152	1
p_153	4
p_154	3
p_155	3
p_156	4
p_157	4
p_158	3
p_159	4
p_160	5
p_161	4
p_162	4
p_163	4
p_164	4
p_165	4
p_166	1
p_167	5
p_168	3
p_169	3
p_170	4
p_171	3
p_172	4
p_173	5
p_174	5
p_175	5
p_176	5
p_177	4
p_178	4
p_179	4
p_180	5
p_181	3
p_182	5
p_183	5
p_184	4
p_185	2
p_186	5
p_187	3
p_188	4
p_189	5
p_190	3
p_191	5
p_192	4
p_193	4
p_194	5
p_195	4
p_196	4
p_197	5
p_198	5
p_199	2
p_200	1
p_201	4
p_202	4
p_203	5
p_204	4
p_205	4
p_206	5
p_207	0
p_208	3
p_209	4
p_210	4
p_211	4
p_212	5
p_213	4
p_214	5
p_215	5
p_216	5
p_217	4
p_218	4
p_219	5
p_220	4
p_221	3
p_222	4
p_223	4
p_224	5
p_225	3
p_226	4
p_227	4
p_228	5
p_229	4
p_230	2
p_231	5
p_232	2
p_233	4
p_234	5
p_235	4
p_236	4
p_237	4
p_238	4
p_239	4
p_240	3
p_241	4
p_242	3
p_243	5
p_244	3
p_245	5
p_246	4
p_247	4
p_248	4
p_249	5
p_250	4
p_251	5
p_252	4
p_253	4
p_254	5
p_255	5
p_256	5
p_257	3
p_258	3
p_259	4
p_260	4
p_261	4
p_262	3
p_263	2
p_264	3
p_265	4
p_266	5
p_267	4
p_268	3
p_269	3
p_270	5
p_271	0
p_272	5
p_273	3
p_274	5
p_275	2
p_276	5
p_277	5
p_278	5
p_279	2
p_280	4
p_281	4
p_282	5
p_283	5
p_284	2
p_285	5
p_286	4
p_287	4
p_288	5
p_289	5
p_290	4
p_291	5
p_292	3
p_293	4
p_294	4
p_295	3
p_296	4
p_297	4
p_298	5
p_299	3
p_300	4
p_301	5
p_302	4
p_303	4
p_304	4
p_305	4
p_306	5
p_307	4
p_308	4
p_309	4
p_310	4
p_311	4
p_312	5
p_313	4
p_314	5
p_315	3
p_316	4
p_317	5
p_318	2
p_319	4
p_320	4
p_321	3
p_322	2
p_323	4
p_324	4
p_325	4
p_326	3
p_327	4
p_328	5
p_329	4
p_330	5
p_331	3
p_332	5
p_333	4
p_334	3
p_335	5
p_336	2
p_337	5
p_338	5
p_339	3
p_340	3
p_341	4
p_342	4
p_343	4
p_344	4
p_345	5
p_346	3
p_347	5
p_348	0
p_349	2
p_350	3
p_351	3
p_352	5
p_353	4
p_354	4
p_355	5
p_356	4
p_357	3
p_358	5
p_359	4
p_360	4
p_361	5
p_362	4
p_363	4
