,id,Sentence1,Sentence2,Gold Tag,tokenized_sent1,tokenized_sent2,lemmatized_sent1,lemmatized_sent2,POS_Tags1,POS_Tags2,Dep_par1,Dep_par2
0,s_1,The leaders have now been given a new chance and let us hope they seize it.,The leaders benefit aujourd' hui of a new luck and let's let them therefore seize it.,5.0,"['The', 'leaders', 'have', 'now', 'been', 'given', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it', '.']","['The', 'leaders', 'benefit', 'aujourd', ""'"", 'hui', 'of', 'a', 'new', 'luck', 'and', 'let', ""'s"", 'let', 'them', 'therefore', 'seize', 'it', '.']","['The', 'leader', 'have', 'now', 'been', 'given', 'a', 'new', 'chance', 'and', 'let', 'u', 'hope', 'they', 'seize', 'it', '.']","['The', 'leader', 'benefit', 'aujourd', ""'"", 'hui', 'of', 'a', 'new', 'luck', 'and', 'let', ""'s"", 'let', 'them', 'therefore', 'seize', 'it', '.']","[('The', 'DT'), ('leader', 'NN'), ('have', 'VBP'), ('now', 'RB'), ('been', 'VBN'), ('given', 'VBN'), ('a', 'DT'), ('new', 'JJ'), ('chance', 'NN'), ('and', 'CC'), ('let', 'VB'), ('u', 'JJ'), ('hope', 'NN'), ('they', 'PRP'), ('seize', 'VBP'), ('it', 'PRP'), ('.', '.')]","[('The', 'DT'), ('leader', 'NN'), ('benefit', 'NN'), ('aujourd', 'NN'), (""'"", 'POS'), ('hui', 'NN'), ('of', 'IN'), ('a', 'DT'), ('new', 'JJ'), ('luck', 'NN'), ('and', 'CC'), ('let', 'VB'), (""'s"", 'POS'), ('let', 'VB'), ('them', 'PRP'), ('therefore', 'RB'), ('seize', 'VBD'), ('it', 'PRP'), ('.', '.')]","[['The', 'DT', 'det', 'leaders', 'NNS', 1, 2], ['leaders', 'NNS', 'nsubjpass', 'given', 'VBN', 2, 6], ['have', 'VBP', 'aux', 'given', 'VBN', 3, 6], ['now', 'RB', 'advmod', 'given', 'VBN', 4, 6], ['been', 'VBN', 'auxpass', 'given', 'VBN', 5, 6], ['given', 'VBN', 'ROOT', 'given', 'VBN', 6, 6], ['a', 'DT', 'det', 'chance', 'NN', 7, 9], ['new', 'JJ', 'amod', 'chance', 'NN', 8, 9], ['chance', 'NN', 'dobj', 'given', 'VBN', 9, 6], ['and', 'CC', 'cc', 'given', 'VBN', 10, 6], ['let', 'VB', 'conj', 'given', 'VBN', 11, 6], ['us', 'PRP', 'nsubj', 'hope', 'VB', 12, 13], ['hope', 'VB', 'ccomp', 'let', 'VB', 13, 11], ['they', 'PRP', 'nsubj', 'seize', 'VBP', 14, 15], ['seize', 'VBP', 'ccomp', 'hope', 'VB', 15, 13], ['it', 'PRP', 'dobj', 'seize', 'VBP', 16, 15], ['.', '.', 'punct', 'given', 'VBN', 17, 6]]","[['The', 'DT', 'det', 'leaders', 'NNS', 1, 2], ['leaders', 'NNS', 'nsubj', 'benefit', 'VBP', 2, 3], ['benefit', 'VBP', 'ROOT', 'benefit', 'VBP', 3, 3], ['aujourd', 'JJ', 'poss', 'hui', 'NN', 4, 6], [""'"", ""''"", 'case', 'aujourd', 'JJ', 5, 4], ['hui', 'NN', 'dobj', 'benefit', 'VBP', 6, 3], ['of', 'IN', 'prep', 'hui', 'NN', 7, 6], ['a', 'DT', 'det', 'luck', 'NN', 8, 10], ['new', 'JJ', 'amod', 'luck', 'NN', 9, 10], ['luck', 'NN', 'pobj', 'of', 'IN', 10, 7], ['and', 'CC', 'cc', 'benefit', 'VBP', 11, 3], ['let', 'VB', 'conj', 'benefit', 'VBP', 12, 3], [""'s"", 'PRP', 'nsubj', 'let', 'VB', 13, 14], ['let', 'VB', 'ccomp', 'let', 'VB', 14, 12], ['them', 'PRP', 'nsubj', 'seize', 'VB', 15, 17], ['therefore', 'RB', 'advmod', 'seize', 'VB', 16, 17], ['seize', 'VB', 'ccomp', 'let', 'VB', 17, 14], ['it', 'PRP', 'dobj', 'seize', 'VB', 18, 17], ['.', '.', 'punct', 'benefit', 'VBP', 19, 3]]"
1,s_2,Amendment No 7 proposes certain changes in the references to paragraphs.,Amendment No 7 is proposing certain changes in the references to paragraphs.,5.0,"['Amendment', 'No', '7', 'proposes', 'certain', 'changes', 'in', 'the', 'references', 'to', 'paragraphs', '.']","['Amendment', 'No', '7', 'is', 'proposing', 'certain', 'changes', 'in', 'the', 'references', 'to', 'paragraphs', '.']","['Amendment', 'No', '7', 'proposes', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph', '.']","['Amendment', 'No', '7', 'is', 'proposing', 'certain', 'change', 'in', 'the', 'reference', 'to', 'paragraph', '.']","[('Amendment', 'NNP'), ('No', 'NNP'), ('7', 'CD'), ('proposes', 'VBZ'), ('certain', 'JJ'), ('change', 'NN'), ('in', 'IN'), ('the', 'DT'), ('reference', 'NN'), ('to', 'TO'), ('paragraph', 'VB'), ('.', '.')]","[('Amendment', 'NNP'), ('No', 'NNP'), ('7', 'CD'), ('is', 'VBZ'), ('proposing', 'VBG'), ('certain', 'JJ'), ('change', 'NN'), ('in', 'IN'), ('the', 'DT'), ('reference', 'NN'), ('to', 'TO'), ('paragraph', 'VB'), ('.', '.')]","[['Amendment', 'JJ', 'nsubj', 'proposes', 'VBZ', 1, 4], ['No', 'NN', 'det', '7', 'CD', 2, 3], ['7', 'CD', 'nummod', 'Amendment', 'JJ', 3, 1], ['proposes', 'VBZ', 'ROOT', 'proposes', 'VBZ', 4, 4], ['certain', 'JJ', 'amod', 'changes', 'NNS', 5, 6], ['changes', 'NNS', 'dobj', 'proposes', 'VBZ', 6, 4], ['in', 'IN', 'prep', 'changes', 'NNS', 7, 6], ['the', 'DT', 'det', 'references', 'NNS', 8, 9], ['references', 'NNS', 'pobj', 'in', 'IN', 9, 7], ['to', 'IN', 'prep', 'references', 'NNS', 10, 9], ['paragraphs', 'NNS', 'pobj', 'to', 'IN', 11, 10], ['.', '.', 'punct', 'proposes', 'VBZ', 12, 4]]","[['Amendment', 'NN', 'nsubj', 'proposing', 'VBG', 1, 5], ['No', 'NNP', 'det', '7', 'CD', 2, 3], ['7', 'CD', 'nummod', 'Amendment', 'NN', 3, 1], ['is', 'VBZ', 'aux', 'proposing', 'VBG', 4, 5], ['proposing', 'VBG', 'ROOT', 'proposing', 'VBG', 5, 5], ['certain', 'JJ', 'amod', 'changes', 'NNS', 6, 7], ['changes', 'NNS', 'dobj', 'proposing', 'VBG', 7, 5], ['in', 'IN', 'prep', 'changes', 'NNS', 8, 7], ['the', 'DT', 'det', 'references', 'NNS', 9, 10], ['references', 'NNS', 'pobj', 'in', 'IN', 10, 8], ['to', 'IN', 'prep', 'references', 'NNS', 11, 10], ['paragraphs', 'NNS', 'pobj', 'to', 'IN', 12, 11], ['.', '.', 'punct', 'proposing', 'VBG', 13, 5]]"
2,s_3,Let me remind you that our allies include fervent supporters of this tax.,"I would like to remind you that among our allies, there are strong of this tax.",4.0,"['Let', 'me', 'remind', 'you', 'that', 'our', 'allies', 'include', 'fervent', 'supporters', 'of', 'this', 'tax', '.']","['I', 'would', 'like', 'to', 'remind', 'you', 'that', 'among', 'our', 'allies', ',', 'there', 'are', 'strong', 'of', 'this', 'tax', '.']","['Let', 'me', 'remind', 'you', 'that', 'our', 'ally', 'include', 'fervent', 'supporter', 'of', 'this', 'tax', '.']","['I', 'would', 'like', 'to', 'remind', 'you', 'that', 'among', 'our', 'ally', ',', 'there', 'are', 'strong', 'of', 'this', 'tax', '.']","[('Let', 'VB'), ('me', 'PRP'), ('remind', 'VB'), ('you', 'PRP'), ('that', 'IN'), ('our', 'PRP$'), ('ally', 'NN'), ('include', 'VBP'), ('fervent', 'JJ'), ('supporter', 'NN'), ('of', 'IN'), ('this', 'DT'), ('tax', 'NN'), ('.', '.')]","[('I', 'PRP'), ('would', 'MD'), ('like', 'VB'), ('to', 'TO'), ('remind', 'VB'), ('you', 'PRP'), ('that', 'IN'), ('among', 'IN'), ('our', 'PRP$'), ('ally', 'NN'), (',', ','), ('there', 'EX'), ('are', 'VBP'), ('strong', 'JJ'), ('of', 'IN'), ('this', 'DT'), ('tax', 'NN'), ('.', '.')]","[['Let', 'VB', 'ROOT', 'Let', 'VB', 1, 1], ['me', 'PRP', 'nsubj', 'remind', 'VB', 2, 3], ['remind', 'VB', 'ccomp', 'Let', 'VB', 3, 1], ['you', 'PRP', 'dobj', 'remind', 'VB', 4, 3], ['that', 'IN', 'mark', 'include', 'VBP', 5, 8], ['our', 'PRP$', 'poss', 'allies', 'NNS', 6, 7], ['allies', 'NNS', 'nsubj', 'include', 'VBP', 7, 8], ['include', 'VBP', 'ccomp', 'remind', 'VB', 8, 3], ['fervent', 'JJ', 'amod', 'supporters', 'NNS', 9, 10], ['supporters', 'NNS', 'dobj', 'include', 'VBP', 10, 8], ['of', 'IN', 'prep', 'supporters', 'NNS', 11, 10], ['this', 'DT', 'det', 'tax', 'NN', 12, 13], ['tax', 'NN', 'pobj', 'of', 'IN', 13, 11], ['.', '.', 'punct', 'Let', 'VB', 14, 1]]","[['I', 'PRP', 'nsubj', 'like', 'VB', 1, 3], ['would', 'MD', 'aux', 'like', 'VB', 2, 3], ['like', 'VB', 'ROOT', 'like', 'VB', 3, 3], ['to', 'TO', 'aux', 'remind', 'VB', 4, 5], ['remind', 'VB', 'xcomp', 'like', 'VB', 5, 3], ['you', 'PRP', 'dobj', 'remind', 'VB', 6, 5], ['that', 'IN', 'mark', 'are', 'VBP', 7, 13], ['among', 'IN', 'prep', 'are', 'VBP', 8, 13], ['our', 'PRP$', 'poss', 'allies', 'NNS', 9, 10], ['allies', 'NNS', 'pobj', 'among', 'IN', 10, 8], [',', ',', 'punct', 'are', 'VBP', 11, 13], ['there', 'EX', 'expl', 'are', 'VBP', 12, 13], ['are', 'VBP', 'ccomp', 'remind', 'VB', 13, 5], ['strong', 'JJ', 'acomp', 'are', 'VBP', 14, 13], ['of', 'IN', 'prep', 'strong', 'JJ', 15, 14], ['this', 'DT', 'det', 'tax', 'NN', 16, 17], ['tax', 'NN', 'pobj', 'of', 'IN', 17, 15], ['.', '.', 'punct', 'like', 'VB', 18, 3]]"
3,s_4,The vote will take place today at 5.30 p.m.,The vote will take place at 5.30pm,5.0,"['The', 'vote', 'will', 'take', 'place', 'today', 'at', '5.30', 'p.m', '.']","['The', 'vote', 'will', 'take', 'place', 'at', '5.30pm']","['The', 'vote', 'will', 'take', 'place', 'today', 'at', '5.30', 'p.m', '.']","['The', 'vote', 'will', 'take', 'place', 'at', '5.30pm']","[('The', 'DT'), ('vote', 'NN'), ('will', 'MD'), ('take', 'VB'), ('place', 'NN'), ('today', 'NN'), ('at', 'IN'), ('5.30', 'CD'), ('p.m', 'NN'), ('.', '.')]","[('The', 'DT'), ('vote', 'NN'), ('will', 'MD'), ('take', 'VB'), ('place', 'NN'), ('at', 'IN'), ('5.30pm', 'CD')]","[['The', 'DT', 'det', 'vote', 'NN', 1, 2], ['vote', 'NN', 'nsubj', 'take', 'VB', 2, 4], ['will', 'MD', 'aux', 'take', 'VB', 3, 4], ['take', 'VB', 'ROOT', 'take', 'VB', 4, 4], ['place', 'NN', 'dobj', 'take', 'VB', 5, 4], ['today', 'NN', 'npadvmod', 'take', 'VB', 6, 4], ['at', 'IN', 'prep', 'take', 'VB', 7, 4], ['5.30', 'CD', 'nummod', 'p.m.', 'NN', 8, 9], ['p.m.', 'NN', 'pobj', 'at', 'IN', 9, 7]]","[['The', 'DT', 'det', 'vote', 'NN', 1, 2], ['vote', 'NN', 'nsubj', 'take', 'VB', 2, 4], ['will', 'MD', 'aux', 'take', 'VB', 3, 4], ['take', 'VB', 'ROOT', 'take', 'VB', 4, 4], ['place', 'NN', 'dobj', 'take', 'VB', 5, 4], ['at', 'IN', 'prep', 'take', 'VB', 6, 4], ['5.30pm', 'CD', 'pobj', 'at', 'IN', 7, 6]]"
4,s_5,"The fishermen are inactive, tired and disappointed.","The fishermen are inactive, tired and disappointed.",5.0,"['The', 'fishermen', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fishermen', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fisherman', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fisherman', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","[('The', 'DT'), ('fisherman', 'NN'), ('are', 'VBP'), ('inactive', 'JJ'), (',', ','), ('tired', 'JJ'), ('and', 'CC'), ('disappointed', 'JJ'), ('.', '.')]","[('The', 'DT'), ('fisherman', 'NN'), ('are', 'VBP'), ('inactive', 'JJ'), (',', ','), ('tired', 'JJ'), ('and', 'CC'), ('disappointed', 'JJ'), ('.', '.')]","[['The', 'DT', 'det', 'fishermen', 'NNS', 1, 2], ['fishermen', 'NNS', 'nsubj', 'are', 'VBP', 2, 3], ['are', 'VBP', 'ROOT', 'are', 'VBP', 3, 3], ['inactive', 'JJ', 'acomp', 'are', 'VBP', 4, 3], [',', ',', 'punct', 'inactive', 'JJ', 5, 4], ['tired', 'JJ', 'conj', 'inactive', 'JJ', 6, 4], ['and', 'CC', 'cc', 'tired', 'JJ', 7, 6], ['disappointed', 'JJ', 'conj', 'tired', 'JJ', 8, 6], ['.', '.', 'punct', 'are', 'VBP', 9, 3]]","[['The', 'DT', 'det', 'fishermen', 'NNS', 1, 2], ['fishermen', 'NNS', 'nsubj', 'are', 'VBP', 2, 3], ['are', 'VBP', 'ROOT', 'are', 'VBP', 3, 3], ['inactive', 'JJ', 'acomp', 'are', 'VBP', 4, 3], [',', ',', 'punct', 'inactive', 'JJ', 5, 4], ['tired', 'JJ', 'conj', 'inactive', 'JJ', 6, 4], ['and', 'CC', 'cc', 'tired', 'JJ', 7, 6], ['disappointed', 'JJ', 'conj', 'tired', 'JJ', 8, 6], ['.', '.', 'punct', 'are', 'VBP', 9, 3]]"
5,s_6,Neither was there a qualified majority within this House to revert to Article 272.,There was not a majority voting in Parliament to go back to Article 272.,5.0,"['Neither', 'was', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'House', 'to', 'revert', 'to', 'Article', '272', '.']","['There', 'was', 'not', 'a', 'majority', 'voting', 'in', 'Parliament', 'to', 'go', 'back', 'to', 'Article', '272', '.']","['Neither', 'wa', 'there', 'a', 'qualified', 'majority', 'within', 'this', 'House', 'to', 'revert', 'to', 'Article', '272', '.']","['There', 'wa', 'not', 'a', 'majority', 'voting', 'in', 'Parliament', 'to', 'go', 'back', 'to', 'Article', '272', '.']","[('Neither', 'DT'), ('wa', 'NN'), ('there', 'RB'), ('a', 'DT'), ('qualified', 'JJ'), ('majority', 'NN'), ('within', 'IN'), ('this', 'DT'), ('House', 'NNP'), ('to', 'TO'), ('revert', 'VB'), ('to', 'TO'), ('Article', 'NNP'), ('272', 'CD'), ('.', '.')]","[('There', 'EX'), ('wa', 'VBZ'), ('not', 'RB'), ('a', 'DT'), ('majority', 'NN'), ('voting', 'NN'), ('in', 'IN'), ('Parliament', 'NNP'), ('to', 'TO'), ('go', 'VB'), ('back', 'RB'), ('to', 'TO'), ('Article', 'NNP'), ('272', 'CD'), ('.', '.')]","[['Neither', 'DT', 'nsubj', 'was', 'VBD', 1, 2], ['was', 'VBD', 'ROOT', 'was', 'VBD', 2, 2], ['there', 'EX', 'expl', 'was', 'VBD', 3, 2], ['a', 'DT', 'det', 'majority', 'NN', 4, 6], ['qualified', 'JJ', 'amod', 'majority', 'NN', 5, 6], ['majority', 'NN', 'attr', 'was', 'VBD', 6, 2], ['within', 'IN', 'prep', 'majority', 'NN', 7, 6], ['this', 'DT', 'det', 'House', 'NNP', 8, 9], ['House', 'NNP', 'pobj', 'within', 'IN', 9, 7], ['to', 'TO', 'aux', 'revert', 'VB', 10, 11], ['revert', 'VB', 'relcl', 'majority', 'NN', 11, 6], ['to', 'IN', 'prep', 'revert', 'VB', 12, 11], ['Article', 'NN', 'pobj', 'to', 'IN', 13, 12], ['272', 'CD', 'nummod', 'Article', 'NN', 14, 13], ['.', '.', 'punct', 'was', 'VBD', 15, 2]]","[['There', 'EX', 'expl', 'was', 'VBD', 1, 2], ['was', 'VBD', 'ROOT', 'was', 'VBD', 2, 2], ['not', 'RB', 'neg', 'was', 'VBD', 3, 2], ['a', 'DT', 'det', 'majority', 'NN', 4, 5], ['majority', 'NN', 'attr', 'was', 'VBD', 5, 2], ['voting', 'NN', 'acl', 'majority', 'NN', 6, 5], ['in', 'IN', 'prep', 'voting', 'NN', 7, 6], ['Parliament', 'NNP', 'pobj', 'in', 'IN', 8, 7], ['to', 'TO', 'aux', 'go', 'VB', 9, 10], ['go', 'VB', 'relcl', 'majority', 'NN', 10, 5], ['back', 'RB', 'advmod', 'go', 'VB', 11, 10], ['to', 'IN', 'prep', 'back', 'RB', 12, 11], ['Article', 'NN', 'pobj', 'to', 'IN', 13, 12], ['272', 'CD', 'nummod', 'Article', 'NN', 14, 13], ['.', '.', 'punct', 'was', 'VBD', 15, 2]]"
6,s_7,It increases the power of the big countries at the expense of the small countries.,It has the effect of augmenting the potency of the big countries to the detriment of babies.,5.0,"['It', 'increases', 'the', 'power', 'of', 'the', 'big', 'countries', 'at', 'the', 'expense', 'of', 'the', 'small', 'countries', '.']","['It', 'has', 'the', 'effect', 'of', 'augmenting', 'the', 'potency', 'of', 'the', 'big', 'countries', 'to', 'the', 'detriment', 'of', 'babies', '.']","['It', 'increase', 'the', 'power', 'of', 'the', 'big', 'country', 'at', 'the', 'expense', 'of', 'the', 'small', 'country', '.']","['It', 'ha', 'the', 'effect', 'of', 'augmenting', 'the', 'potency', 'of', 'the', 'big', 'country', 'to', 'the', 'detriment', 'of', 'baby', '.']","[('It', 'PRP'), ('increase', 'VBZ'), ('the', 'DT'), ('power', 'NN'), ('of', 'IN'), ('the', 'DT'), ('big', 'JJ'), ('country', 'NN'), ('at', 'IN'), ('the', 'DT'), ('expense', 'NN'), ('of', 'IN'), ('the', 'DT'), ('small', 'JJ'), ('country', 'NN'), ('.', '.')]","[('It', 'PRP'), ('ha', 'VBZ'), ('the', 'DT'), ('effect', 'NN'), ('of', 'IN'), ('augmenting', 'VBG'), ('the', 'DT'), ('potency', 'NN'), ('of', 'IN'), ('the', 'DT'), ('big', 'JJ'), ('country', 'NN'), ('to', 'TO'), ('the', 'DT'), ('detriment', 'NN'), ('of', 'IN'), ('baby', 'NN'), ('.', '.')]","[['It', 'PRP', 'nsubj', 'increases', 'VBZ', 1, 2], ['increases', 'VBZ', 'ROOT', 'increases', 'VBZ', 2, 2], ['the', 'DT', 'det', 'power', 'NN', 3, 4], ['power', 'NN', 'dobj', 'increases', 'VBZ', 4, 2], ['of', 'IN', 'prep', 'power', 'NN', 5, 4], ['the', 'DT', 'det', 'countries', 'NNS', 6, 8], ['big', 'JJ', 'amod', 'countries', 'NNS', 7, 8], ['countries', 'NNS', 'pobj', 'of', 'IN', 8, 5], ['at', 'IN', 'prep', 'increases', 'VBZ', 9, 2], ['the', 'DT', 'det', 'expense', 'NN', 10, 11], ['expense', 'NN', 'pobj', 'at', 'IN', 11, 9], ['of', 'IN', 'prep', 'expense', 'NN', 12, 11], ['the', 'DT', 'det', 'countries', 'NNS', 13, 15], ['small', 'JJ', 'amod', 'countries', 'NNS', 14, 15], ['countries', 'NNS', 'pobj', 'of', 'IN', 15, 12], ['.', '.', 'punct', 'increases', 'VBZ', 16, 2]]","[['It', 'PRP', 'nsubj', 'has', 'VBZ', 1, 2], ['has', 'VBZ', 'ROOT', 'has', 'VBZ', 2, 2], ['the', 'DT', 'det', 'effect', 'NN', 3, 4], ['effect', 'NN', 'dobj', 'has', 'VBZ', 4, 2], ['of', 'IN', 'prep', 'effect', 'NN', 5, 4], ['augmenting', 'VBG', 'pcomp', 'of', 'IN', 6, 5], ['the', 'DT', 'det', 'potency', 'NN', 7, 8], ['potency', 'NN', 'dobj', 'augmenting', 'VBG', 8, 6], ['of', 'IN', 'prep', 'potency', 'NN', 9, 8], ['the', 'DT', 'det', 'countries', 'NNS', 10, 12], ['big', 'JJ', 'amod', 'countries', 'NNS', 11, 12], ['countries', 'NNS', 'pobj', 'of', 'IN', 12, 9], ['to', 'IN', 'prep', 'augmenting', 'VBG', 13, 6], ['the', 'DT', 'det', 'detriment', 'NN', 14, 15], ['detriment', 'NN', 'pobj', 'to', 'IN', 15, 13], ['of', 'IN', 'prep', 'detriment', 'NN', 16, 15], ['babies', 'NNS', 'pobj', 'of', 'IN', 17, 16], ['.', '.', 'punct', 'has', 'VBZ', 18, 2]]"
7,s_8,"The fishermen are inactive, tired and disappointed.","The fishers are inactive, tired and disappointed.",5.0,"['The', 'fishermen', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fishers', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fisherman', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","['The', 'fisher', 'are', 'inactive', ',', 'tired', 'and', 'disappointed', '.']","[('The', 'DT'), ('fisherman', 'NN'), ('are', 'VBP'), ('inactive', 'JJ'), (',', ','), ('tired', 'JJ'), ('and', 'CC'), ('disappointed', 'JJ'), ('.', '.')]","[('The', 'DT'), ('fisher', 'NN'), ('are', 'VBP'), ('inactive', 'JJ'), (',', ','), ('tired', 'JJ'), ('and', 'CC'), ('disappointed', 'JJ'), ('.', '.')]","[['The', 'DT', 'det', 'fishermen', 'NNS', 1, 2], ['fishermen', 'NNS', 'nsubj', 'are', 'VBP', 2, 3], ['are', 'VBP', 'ROOT', 'are', 'VBP', 3, 3], ['inactive', 'JJ', 'acomp', 'are', 'VBP', 4, 3], [',', ',', 'punct', 'inactive', 'JJ', 5, 4], ['tired', 'JJ', 'conj', 'inactive', 'JJ', 6, 4], ['and', 'CC', 'cc', 'tired', 'JJ', 7, 6], ['disappointed', 'JJ', 'conj', 'tired', 'JJ', 8, 6], ['.', '.', 'punct', 'are', 'VBP', 9, 3]]","[['The', 'DT', 'det', 'fishers', 'NNS', 1, 2], ['fishers', 'NNS', 'nsubj', 'are', 'VBP', 2, 3], ['are', 'VBP', 'ROOT', 'are', 'VBP', 3, 3], ['inactive', 'JJ', 'acomp', 'are', 'VBP', 4, 3], [',', ',', 'punct', 'inactive', 'JJ', 5, 4], ['tired', 'JJ', 'conj', 'inactive', 'JJ', 6, 4], ['and', 'CC', 'cc', 'tired', 'JJ', 7, 6], ['disappointed', 'JJ', 'conj', 'tired', 'JJ', 8, 6], ['.', '.', 'punct', 'are', 'VBP', 9, 3]]"
8,s_9,The leaders have now been given a new chance and let us hope they seize it.,Leaders now have another chance to let them and therefore take.,5.0,"['The', 'leaders', 'have', 'now', 'been', 'given', 'a', 'new', 'chance', 'and', 'let', 'us', 'hope', 'they', 'seize', 'it', '.']","['Leaders', 'now', 'have', 'another', 'chance', 'to', 'let', 'them', 'and', 'therefore', 'take', '.']","['The', 'leader', 'have', 'now', 'been', 'given', 'a', 'new', 'chance', 'and', 'let', 'u', 'hope', 'they', 'seize', 'it', '.']","['Leaders', 'now', 'have', 'another', 'chance', 'to', 'let', 'them', 'and', 'therefore', 'take', '.']","[('The', 'DT'), ('leader', 'NN'), ('have', 'VBP'), ('now', 'RB'), ('been', 'VBN'), ('given', 'VBN'), ('a', 'DT'), ('new', 'JJ'), ('chance', 'NN'), ('and', 'CC'), ('let', 'VB'), ('u', 'JJ'), ('hope', 'NN'), ('they', 'PRP'), ('seize', 'VBP'), ('it', 'PRP'), ('.', '.')]","[('Leaders', 'NNS'), ('now', 'RB'), ('have', 'VBP'), ('another', 'DT'), ('chance', 'NN'), ('to', 'TO'), ('let', 'VB'), ('them', 'PRP'), ('and', 'CC'), ('therefore', 'RB'), ('take', 'NN'), ('.', '.')]","[['The', 'DT', 'det', 'leaders', 'NNS', 1, 2], ['leaders', 'NNS', 'nsubjpass', 'given', 'VBN', 2, 6], ['have', 'VBP', 'aux', 'given', 'VBN', 3, 6], ['now', 'RB', 'advmod', 'given', 'VBN', 4, 6], ['been', 'VBN', 'auxpass', 'given', 'VBN', 5, 6], ['given', 'VBN', 'ROOT', 'given', 'VBN', 6, 6], ['a', 'DT', 'det', 'chance', 'NN', 7, 9], ['new', 'JJ', 'amod', 'chance', 'NN', 8, 9], ['chance', 'NN', 'dobj', 'given', 'VBN', 9, 6], ['and', 'CC', 'cc', 'given', 'VBN', 10, 6], ['let', 'VB', 'conj', 'given', 'VBN', 11, 6], ['us', 'PRP', 'nsubj', 'hope', 'VB', 12, 13], ['hope', 'VB', 'ccomp', 'let', 'VB', 13, 11], ['they', 'PRP', 'nsubj', 'seize', 'VBP', 14, 15], ['seize', 'VBP', 'ccomp', 'hope', 'VB', 15, 13], ['it', 'PRP', 'dobj', 'seize', 'VBP', 16, 15], ['.', '.', 'punct', 'given', 'VBN', 17, 6]]","[['Leaders', 'NNS', 'nsubj', 'have', 'VBP', 1, 3], ['now', 'RB', 'advmod', 'have', 'VBP', 2, 3], ['have', 'VBP', 'ROOT', 'have', 'VBP', 3, 3], ['another', 'DT', 'det', 'chance', 'NN', 4, 5], ['chance', 'NN', 'dobj', 'have', 'VBP', 5, 3], ['to', 'TO', 'aux', 'let', 'VB', 6, 7], ['let', 'VB', 'acl', 'chance', 'NN', 7, 5], ['them', 'PRP', 'dobj', 'let', 'VB', 8, 7], ['and', 'CC', 'cc', 'let', 'VB', 9, 7], ['therefore', 'RB', 'advmod', 'take', 'VB', 10, 11], ['take', 'VB', 'conj', 'let', 'VB', 11, 7], ['.', '.', 'punct', 'have', 'VBP', 12, 3]]"
9,s_10,The vote will take place today at 5.30 p.m.,The vote will take place at 17h30.,5.0,"['The', 'vote', 'will', 'take', 'place', 'today', 'at', '5.30', 'p.m', '.']","['The', 'vote', 'will', 'take', 'place', 'at', '17h30', '.']","['The', 'vote', 'will', 'take', 'place', 'today', 'at', '5.30', 'p.m', '.']","['The', 'vote', 'will', 'take', 'place', 'at', '17h30', '.']","[('The', 'DT'), ('vote', 'NN'), ('will', 'MD'), ('take', 'VB'), ('place', 'NN'), ('today', 'NN'), ('at', 'IN'), ('5.30', 'CD'), ('p.m', 'NN'), ('.', '.')]","[('The', 'DT'), ('vote', 'NN'), ('will', 'MD'), ('take', 'VB'), ('place', 'NN'), ('at', 'IN'), ('17h30', 'CD'), ('.', '.')]","[['The', 'DT', 'det', 'vote', 'NN', 1, 2], ['vote', 'NN', 'nsubj', 'take', 'VB', 2, 4], ['will', 'MD', 'aux', 'take', 'VB', 3, 4], ['take', 'VB', 'ROOT', 'take', 'VB', 4, 4], ['place', 'NN', 'dobj', 'take', 'VB', 5, 4], ['today', 'NN', 'npadvmod', 'take', 'VB', 6, 4], ['at', 'IN', 'prep', 'take', 'VB', 7, 4], ['5.30', 'CD', 'nummod', 'p.m.', 'NN', 8, 9], ['p.m.', 'NN', 'pobj', 'at', 'IN', 9, 7]]","[['The', 'DT', 'det', 'vote', 'NN', 1, 2], ['vote', 'NN', 'nsubj', 'take', 'VB', 2, 4], ['will', 'MD', 'aux', 'take', 'VB', 3, 4], ['take', 'VB', 'ROOT', 'take', 'VB', 4, 4], ['place', 'NN', 'dobj', 'take', 'VB', 5, 4], ['at', 'IN', 'prep', 'take', 'VB', 6, 4], ['17h30', 'CD', 'pobj', 'at', 'IN', 7, 6], ['.', '.', 'punct', 'take', 'VB', 8, 4]]"
